,Artists,Title,Lyrics
88,Jasmin Moallem,אור הירח,"14 ContributorsOr Hayare’ach - אור הירח Lyrics
כשאלוהים ברא ת'חושך, הוא ברא לנו ירח
שיראו איך אנחנו בודדים
את הירח שם גבוה, שלא נוכל לנגוע (לא, לא)
ויש כמה שעדיין מנסים

ילדים מתעופפים, כדורים כחולים סגולים
והאור שמלווה אותו צונח, זה רק אור הירח
זה רק אור הירח

כשאלוהים ברא ת'חושך, הוא ברא לנו ירח
שיראו איך אנחנו פוחדים
את הירח שם גבוה, שלא נוכל לנגוע (לא, לא)
ויש כמה שעדיין מנסים

מה זה? (מה זה?) מה זה? (מה זה?)
?'מה זה מסנוור מהבגאז
מי זה שהוריד את הירח על מגש?
'עכשיו הכוכבים סביבי כאילו אנטוראז
'לא, זה לא סותם ת'בור, רק מצמיח תלתלאז
אז חשבתי שאני כבר באיבוד כיוון
כשהתעלמו כאילו יש לי צו איסור פרסום
אבל גם היום כשלשירים שלי לא מצאו חיסון
אני צריך עוד אהבה כאילו זוג בלי זום
הרייס אף פעם לא מפסיק
האור אף פעם לא דוהה
ההיי אף פעם לא מחזיק (הו, אה, וואו, היי, אה)
מגיל אחת או שתיים
נרקומנים של כפיים
ככה הגענו לשמיים או לפריים-טיים
כמה אפילו היו שם פעמיים
כל הילדים קופצים רוקדים
כל הכדורים כחולים סגולים
והדורות מתגלגלים, מתפללים לאהבה
אוקיי מאז חווה ועד העונג הבא
אה, אה, אה
You might also like
הילדים במשברים, ההורים כחולים סגולים
והאור שמלווה אותו צורח, איי, זה רק אור הירח
זה רק אור הירח (מה זה מסנוור מהבגאז'?)
זה רק אור הירח
(?'מה זה מסנוור מהבגאז) זה רק אור הירח
זה רק אור הירח (מה זה מסנוור מהבגאז'?)
זה רק אור הירח
זה רק אור הירח
זה רק אור, זה רק אור, זה רק אור

הבנאדם לא צונח, כי יש לו אור של ירח
הבנאדם הוא שמח, כי יש לו אור של ירח
אור הירח, הירח
זה רק אור הירח2Embed"
89,Itay Levi,קירות,"2 ContributorsKirot - קירות Lyricsאז תקשיבי, את כל מה שרציתי
כבר לא מעדיף להיות לבד
אני נשבע לך זכיתי וכמה חיכיתי
איתך בלי לשתות קצת מסוחרר
אם הקירות אצלי בבית רק יכלו קצת לדבר
אולי היו אומרים לי אהבה זה ממכר
מתאים לי לחלום אותך בכל לילה
רק להיות איתך
?את מי את אוהבת
אני שואל אותך תגידי מה קורה לי אני כמו מטורף
?על מי את חושבת
איך את יודעת בדיוק מה זה עושה לי
תגידי שקר לך, תגידי שבא לך, אני פה איתך
אוסף לי רגעים של אושר
תגידי שטוב לך, אני פה איתך
אז תקשיבי, את כל מה שקיוויתי
איתך לא פוחד להיות חלש
אני לוחש לך זכיתי וכמה חיכיתי
איתך זה צלול ומטושטש
כל הפרחים אצלי בגן יפים אבל פחות ממך
הלב שלי לא קשה כבר אהבה זה מרכך
רציתי לחלום אותך בכל לילה
רק להיות איתך
You might also likeאת מי את אוהבת? אני שואל אותך
תגידי מה קורה לי אני כמו מטורף
?על מי את חושבת
איך את יודעת בדיוק מה זה עושה לי
תגידי שקר לך, תגידי שבא לך, אני פה איתך
אוסף לי רגעים של אושר
תגידי שטוב לך, אני פה איתךEmbed"
90,Tiësto,The Business,"29 ContributorsTranslationsDeutschThe Business Lyrics
Let's get down, let's get down to business
Give you one more night, one more night to get this
We've had a million, million nights just like this
So let's get down, let's get down to business

Mama, please don't worry 'bout me
'Cause I'm about to let my heart speak
My friends keep telling me to leave this
So let's get down, let's get down to business

Let's get down, let's get down to business
Give you onе more night, one more night to gеt this
We've had a million, million nights just like this
So let's get down, let's get down to business
Let's get down, let's get down to business
Give you one more night, one more night to get this
We've had a million, million nights just like this
So let's get down, let's get down to business, yeah

Back and forth, back and forth with the bullshit
I know I said it before, I don't mean it
It's been a while since I had your attention
So it might hurt to hear this
You might also like
(Ooh, yeah, yeah)
Dreams we have don't ever fall away
We can't live 'em if we stay the same
And I can't do this for another day
So let's get down, let's get down to business

Let's get down, let's get down to business
Give you one more night, one more night to get this
We've had a million, million nights just like this
So let's get down, let's get down to business
Let's get down, let's get down to business
Give you one more night, one more night to get this
We've had a million, million nights just like this
So let's get down, let's get down to business, yeah

Ooh, yeah, yeah11Embed"
91,Ishay Ribo,ניצחת איתי הכל לייב,"1 ContributorNitzacht Iti Hakol Live - ניצחת איתי הכל לייב Lyricsמזל שיש אותך
תמיד את מנגנת תמיד שלמה עם עצמך
ברוך את מלטפת את מיתרי אהבתך
איזה מזל
מזל שיש אותך
את מבינה אותי ואת מראה לי את עצמי
מתלהב כמו ילד מתפנק בך
ואז אני נשאר איתך
בסוף כל לילה אני בא
את רזי צניעותך את נותנת לי ללמוד
וריחמת עלי כמו אם
וניצחת איתי הכל
מזל שיש אותך
אני שקוע בנסתר שבך אוהב מה שגלוי
אני עבד לחוכמה שלך ואין בך כלום שפוי
איזה מזל איתך
בסוף כל לילה אני בא
את רזי צניעותך את נותנת לי ללמוד
וריחמת עלי כמו אם
וניצחת איתי הכלYou might also likeEmbed"
92,Omer Adam,פסקול חיי,"3 ContributorsPaskol Hayai - פסקול חיי Lyrics
על מדרכה בעיר אני יושב לבד
כל החיים שלי הכל כמעט הכל ליד
ואין כדור ללב שבור ובסיפור הזה גם את
לא ממש עוזרת
הייתי משוגע עליך את זה את לא ידעת
ואת עשית לי אז בית ספר כששיחקנו קצת
וזה גמור עכשיו אסור להתקשר לא כי שבת
זה כי את לא עונה

וכבר מזמן ראיתי
את העתיד שלי איתך
עכשיו אני סגור על זה
היית הכל אולי היית פסקול חיי
לאן שלא הלכתי
חזרתי אל הטוב שלך
עכשיו אני סגור על זה
היית הכל אולי היית פסקול חיי

היינו כמו מכסה לסיר לפחות זה מה שחשבת
אמרת שאת לא זוכרת כבר במי התאהבת
זה כבר גמור זה לב שבור זה כמו כדור בחזה
כשאת הולכת
You might also like
וכבר מזמן ראיתי
את העתיד שלי איתך
עכשיו אני סגור על זה
היית הכל אולי היית פסקול חיי
לאן שלא הלכתי
חזרתי אל הטוב שלך
עכשיו אני סגור על זה
היית הכל אולי היית פסקול חיי

מחשבות באות עם הלבד
האם הכרת איזה בחור נחמד
האם את שמה את הלב בצד
כשאת חושבת עלי

וכבר מזמן ראיתי
את העתיד שלי איתך
עכשיו אני סגור על זה
היית הכל אולי היית פסקול חיי
לאן שלא הלכתי
חזרתי אל הטוב שלך
עכשיו אני סגור על זה
היית הכל אולי היית פסקול חייEmbed"
93,OneRepublic,Counting Stars,"196 ContributorsTranslationsTürkçeΕλληνικάCounting Stars Lyrics
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said no more countin' dollars, we'll be countin' stars
Yeah, we'll be countin' stars

I see this life, like a swinging vine
Swing my heart across the line
And in my face is flashing signs
Seek it out and ye' shall find

Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doing what we're told

I feel something so right doin' the wrong thing
I feel something so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that kills me makes me feel alive

Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said no more countin' dollars, we'll be countin' stars
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said no more countin' dollars, we'll be, we'll be countin' stars
You might also like
I feel your love and I feel it burn
Down this river, every turn
Hope is our four-letter word
Make that money, watch it burn

Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
I'm just doing what we're told

I feel something so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that downs me makes me wanna fly

Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said no more countin' dollars, we'll be countin' stars
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said no more countin' dollars, we'll be, we'll be countin' stars
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned

Everything that kills me makes me feel alive

Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said no more countin' dollars, we'll be countin' stars
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said no more countin' dollars, we'll be, we'll be counting stars

Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned427Embed"
94,Doli & Penn,מאושרים,"2 ContributorsMe’usharim - מאושרים Lyrics
אתה אלוף באהבות כמו שאלוף גם בפרידות
ואותך לשתי דקות מביא לי מוזה לדורות
אתה כמו צרור מפתחות
מדליק ת'לב כמו מדורות
לא קיבלת צמרמורות מנשים כל כך יפות
הקטע של הלילה שגורם לי לקוות
שתבוא מתוך הדלת כמו שכיוונתי בתפילות

אתה בא לי בלילות בלילות בלילות
כמו אלף מלחמות מלחמות מלחמות
אבל ניצחתי כי הבנתי
שביחד לא נהיה מאושרים
אתה בא לי בלילות בלילות בלילות
כמו אלף מלחמות מלחמות מלחמות
וזה לא קל לי כי הבנתי
שביחד לא נהיה מאושרים

נכון זה לא היה פשוט
אני יודע
אבל מכל המלחמות אני שבע
כי את אחת עם עקרונות
וכשזה בא עם רגשות
אני ישר נופל בפח ומשתגע
בשביל לב שבור צריך פה שניים
שיחקו לי בליהוק של האחת פה בשמיים
הלב שלנו כבר כמעט הרים ידיים
אבל איתך
You might also like
אתה בא לי בלילות בלילות בלילות
כמו אלף מלחמות מלחמות מלחמות
אבל ניצחתי כי הבנתי
שביחד לא נהיה מאושרים
אתה בא לי בלילות בלילות בלילות
כמו אלף מלחמות מלחמות מלחמות
וזה לא קל לי כי הבנתי
שביחד לא נהיה מאושרים

כולם אמרו שאנחנו זה לנצח
סיבוב הבא מי בינינו ינצח
לא הסתדר, בגלגול אחר
נתחיל בדף חדש כמו שני זרים
כי את אחת שלוקחת ללב
יודעת לדבר עם הכאב שלי
יודעת לדבר עם הכאב

אתה בא לי בלילות בלילות בלילות
כמו אלף מלחמות מלחמות מלחמות
אבל ניצחתי כי הבנתי
שביחד לא נהיה מאושרים
אתה בא לי בלילות בלילות בלילות
כמו אלף מלחמות מלחמות מלחמות
וזה לא קל לי כי הבנתי
שביחד לא נהיה מאושריםEmbed"
95,Dudu Tassa,מעליות,"4 ContributorsMaaliyot - מעליות Lyrics
אני אוהב את הלילה איתך
לא זוכר מה זה בלעדייך
אני שומר לך את הדברים הטובים
גם אם הם מעט, מספיקים רק לאחד

אני קוטף לך את כל הפרחים
וגינתי פורחת ללא הרף
אני שומר לך את כל הסודות
שתחזרי אליי בערב, ערב טוב

מעליות, מעליות עולות יורדות ומתרסקות
אבל אני גבוה מכולם
כלום לא נוגע, כלום לא נוגע
רק המבט שלך

מאירה את הבוקר איתך
פותחת בליבך עוד איזו דלת
אתה יפה, אלוהים יודע כמה
מתבוננת לעת ערב, ערב טוב

אני חורזת שרשרת מילים
מפחדת לאבד אותה בדרך
אני אלך איתך לאן שתרצה
רק אל תלך רחוק מדי, רחוק מדי משתי עיניי
You might also like
מעליות, מעליות עולות יורדות ומתרסקות
אבל אני גבוהה מכולם
כלום לא נוגע, כלום לא נוגע
רק המבט שלך

בעיניים פקוחות, ברגליים פצועות
אני הולך איתך
כלום לא נוגע, רק המבט שלך

אני אוהב את הלילה איתך
לא זוכר מה זה בלעדייך
אני שומרת את הדברים הטובים
גם אם הם מעט, מספיקים רק לאחדEmbed"
96,Måneskin,Beggin',"60 ContributorsTranslationsPortuguêsItalianoDeutschBeggin’ Lyrics
Put your loving hands out, baby
'Cause I'm beggin'

I'm beggin', beggin' you
So put your loving hands out, baby
I'm beggin', beggin' you
So put your loving hands out, darlin'

Riding high when I was king
I played it hard and fast, 'cause I had everything
I walked away, you won me then
But easy come and easy go and it would end

So anytime I bleed, you let me go
Yah, anytime I feed, you get me know
Anytime I seek, you let me know
But I planted that seed, just let me grow
I'm on my knees when I'm beggin'
'Cause I don't wanna lose you
Hey, yeah, ra-ta-ta-ta!

'Cause I'm beggin', beggin' you
Uh, put your loving hands out, baby
I'm beggin', beggin' you, ah
And put your loving hands out, darlin'
You might also like
I need you to understand
Tried so hard to be your man
The kind of man you want in the end
Only then can I begin to live again

An empty shell, I used to be
The shadow of my life was hangin' over me
A broken man that I don't know
Won't even stand the devil's dance to win my soul

What we doin'? What we chasin'?
Why the bottom? Why the basement?
Why we got good shit, don't embrace it?
Why the feel for the need to replace me?
You're the wrong way track from the good
I want to paint a picture tellin' where we could be at
Like a heart in the best way should
You can give it away, you had it and you took the pay
But I keep walkin' on, keep openin' doors
Keep hopin' for, now the door is yours
Keep also home
'Cause I don't want to live in a broken home, girl, I'm beggin'
Mmm, yeah-yeah, yeah, I'm beggin', beggin' you
So put your loving hands out, baby
I'm beggin', beggin' you
So put your loving hands out, darlin'

I'm fighting hard to hold my own
Just can't make it all alone
I'm holding on, I can't fall back
I'm just a calm, 'bout to fade to black

I'm beggin', beggin' you
Put your loving hands out, baby
I'm beggin', beggin' you
So put your loving hands out, darlin'
I'm beggin', beggin' you
So put your loving hands out, baby
I'm beggin', beggin' you
So put your loving hands out, darlin'

I'm beggin', beggin' you
So put your loving hands out, baby
I'm beggin', beggin' you
So put your loving hands out44Embed"
97,Noa Kirel,מיליון דולר,"3 ContributorsMillion Dollar - מיליון דולר Lyrics
‎מיליון דולר
‎לה לה לה לה לה
‎לה לה לה לה לה
‎לה לה לה לה לה
‎לה לה לה לה לה

?איך אני נראית
‎מיליון דולר
‎כולי קומפלט
‎מיליון דולר
‎חותמת על הצ’ק
‎מיליון דולר, מיליון דולר, מיליון דולר

‎לא לא לא
‎באתי, ראיתי, הבנתי
‎אמרתי לכולם פה
‎לא לא לא
‎שמתי, לבשתי, הגזמתי
‎וכולם אמרו מאמי

‎איזה טעם מיוחד, טעם אוממי
‎איזה סטייל משוגע, כמה אוממי
‎תסתכל בטיקט כמה אוממי
‎אוממי, ‎איזה טעם מיוחד, טעם אוממי
‎איזה סטייל משוגע, כמה אוממי
‎תסתכל בטיקט כמה אוממי, אוממי
You might also like
?איך אני נראית
‎מיליון דולר
‎כולי קומפלט
‎מיליון דולר
‎חותמת על הצ’ק
‎מיליון דולר, מיליון דולר, מיליון דולר

וואו וואו וואו
‎באתי עם רשת
‎הכל צבע קשת
‎בחוץ אני
‎וואו וואו וואו
‎ככה בשקט בולטת
‎וכולם אמרו מאמי

‎איזה טעם מיוחד, טעם אוממי
‎איזה סטייל משוגע, כמה אוממי
‎תסתכל בטיקט כמה אוממי, אוממי

?איך אני נראית
‎מיליון דולר
‎כולי קומפלט
‎מיליון דולר
‎חותמת על הצ’ק
‎מיליון דולר, מיליון דולר, מיליון דולר
קונגו, יה, איך את נראית
‎נפלה לי כל הלסת כל הגוף שלי רוטט
‎לא קונה ביחידים הכל אצלך סט
‎פלאשים רק עלייך כל תמונה שלך פראש, ‎וואלה את אש
‎מיליון דולר אני קונה, אני ואת ביחד זה נראה לי שווה
‎מיליון דולר בא לי הכל כשאת לידי
את לא צריכה יותר לשאול איך את נראית

‎מיליון דולר
‎כולי קומפלט
‎מיליון דולר
‎חותמת על הצ’ק
‎מיליון דולר, מיליון דולר, מיליון דולר1Embed"
98,David Guetta,I'm Good (Blue),"53 ContributorsTranslationsPortuguêsEspañolTürkçeI’m Good (Blue) Lyrics
I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright

Don't you know I'm good, yeah, I'm feelin' alright

You know I'm down for whatever tonight
I don't need the finer things in life
No matter where I go, it's a good time, yeah
And I, I don't need to sit in VIP
Middle of the floor, that's where I'll be
Don't got a lot, but that's enough for me, yeah

'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
You might also like
I'm good
Good
I'm good
Don't you know I'm good, yeah, I'm feelin' alright

So I just let it go, let it go
Oh, na-na-na-na-na
No, I don't care no more, care no more
Oh, na-na-na-na-na
So come on, let me know, let me know
Put your hands up, na-na-na
No, baby, nothing's gonna stop us tonight

'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright36Embed"
99,CKay,love nwantiti (ah ah ah),"41 ContributorsTranslationsDeutschEnglish​love nwantiti (ah ah ah) Lyrics
(Tu-tu-tu, tu-tu-tu-tu-tu)
(Tu-tu-tu-tu, tu-tu-tu-tu-tu) Yeah

My baby, my valentine, yeah
Girl, na you dey make my temperature dey rise
If you leave me, I go die, I swear
You are like the oxygen I need to survive
I'll be honest
Your loving dey totori me
I am so obsessed
I want to chop your nkwobi

Ule, your body dey gbakam isi
Ule, open am make I see
Ule, nyem love nwantiti
Wey fit make a bad man sing ""Oh-ahh""

Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
You might also like
Baby girl, where you from come? Yeah
Your body na follow come, yeah
No be silicon, uh
Baba God e finish work, eh-eh-eh-eh-eh
Without you, I go fit lose my mind
Without you, I go fit fall and die
Without you, I go give all my life
Without you, without you

Ule, your body dey gbakam isi
Ule, open am make I see
Ule, nyem love nwantiti
Wey fit make a bad man sing ""Oh-ahh""

Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah

You mean the world to me
You're my living fantasy
I-I-I, I love you
I-I-I put no one above of you
Lover, don't give this love to nobody
Lover, don't call another nigga ""honey""
Lover, lover, I wanna be your lover
Forever, forever
Tu-tu-tu, tu-tu-tu-tu-tu
Tu-tu-tu-tu, tu-tu-tu-tu-tu
(Tempoe) CKay, yo12Embed"
100,Odeya,האמת,"1 ContributorHa’emet - האמת Lyricsוואלה אתה לא ראוי לטקסטים שלי
לא אתה לא ראוי לרשימה הזאת של האקסים שלי
תן להתפוצץ עליך שקט אין לי ברקסים
וסתמתי את הפה יותר מדי
אני לא מכבה הרפלקסים שלי
הפעם בא לי לדבר
כל מה שיושב לי על הלב אני אגיד
אתה תתגבר
זאת השבת הכי קשה שלי בחיים
אתה לא תבין אתה לא שומר
עליי יותר
הרבה זמן לא חזרתי בוכה ממסיבות צהריים
לקחתי כדור וכיביתי אותי ליומיים
לא קמתי לקידוש
אבל מה זה מעניין אותך אתה
אכפת לך איך אתה לבוש
האמת
הייתי חוזרת אחורה בזמן
ליום של שיחת יחסנו לאן
הייתי מוותרת עליך
מחבקת אותי
וחוזרת לכאן האמת
הייתי רוצה עוד שיחה עם האקס
ההוא שלימד אותי לחן וטקסט
הייתי נלחמת עליו
מחבקת אותו
לא חוזרת לכאן
בלעדיו
You might also likeכתבת עליי שירים אחרי שבוע ודקה
וכשחבר שלך עוזב אז את זורקת לי חכה
ואת שולחת הודעות ומחכה
נשבר לי מלשבור לך את הלב כשאת צריכה
בא לך אהבה אז את דופקת לי בדלת
אם לא תחבק אותי היום אני נופלת
איך אני חלש מול העיניים שלך
שוב הן אדומות
אני לא צריך שירים
ומאמי תכבי את המצלמות
האמת הייתי חוזר לי
אחורה בזמן
ליום של שיחת יחסנו לאן
הייתי מוותר על ההיא
מחבק את עצמי
וחוזר לי לכאן
האמת הייתי רוצה לדבר איתך שוב
כי אנחנו זה מה שחשוב
הייתי נלחם גם עכשיו
בהוא שניצח
שאין לי אותך אחריו
החולצות של הדיור שלך שנראות כמו פיג׳מה
החיבוק החצי מת שלך מיותר כמו ניקי ג׳אמה
אתה קר אליי תקופה ואתה לא מספר לי למה
לא מרגש אותך קהל ששר יורקת פה דם אה?
לא נהיה ג׳סטין והיילי
או קניה וקים
או ביבי ושרה כי שנינו דפוקים
אני עפה על טקסטים אתה על עוקבים
אני עובדת קשה לך יש מנקים
האמת הייתי חוזר לי
אחורה בזמן
ליום של שיחת יחסנו לאן
הייתי מוותר על ההיא
מחבק את עצמי
וחוזר לי לכאן
האמת הייתי רוצה לדבר איתך שוב
כי אנחנו זה מה שחשוב
הייתי נלחם גם עכשיו
בהוא שניצח
שאין לי אותך אחריוEmbed"
101,Maroon 5,Memories,"108 ContributorsTranslationsTürkçePortuguêsPolskiفارسیMemories Lyrics
Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you

There's a time that I remember, when I did not know no pain
When I believed in forever, and everything would stay the same
Now my heart feel like December when somebody say your name
'Cause I can't reach out to call you, but I know I will one day, yeah

Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy

Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you
You might also like
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you

There's a time that I remember when I never felt so lost
When I felt all of the hatred was too powerful to stop (Ooh, yeah)
Now my heart feel like an ember and it's lighting up the dark
I'll carry these torches for ya that you know I'll never drop, yeah

Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy
Here's to the ones that we got (Oh-oh)
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through (No, no)
Toast to the ones here today (Ayy)
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories (Ayy)
And the memories bring back, memories bring back you
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo (Ooh, yeah)
Memories bring back, memories bring back you

Yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, no, no
Memories bring back, memories bring back you69Embed"
102,Vance Joy,Riptide,"146 ContributorsTranslationsPortuguêsEspañolRiptide Lyrics
I was scared of dentists and the dark
I was scared of pretty girls and starting conversations
Oh, all my friends are turning green
You're the magician's assistant in their dream

Oh, oh-o-oh, and they come unstuck

Lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you, when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

There's this movie that I think you'll like
This guy decides to quit his job and heads to New York City
This cowboy's running from himself
And she's been living on the highest shelf

Oh, oh-o-oh, and they come unstuck
You might also like
Lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

I just wanna, I just wanna know
If you're gonna, if you're gonna stay
I just gotta, I just gotta know
I can't have it, I can't have it, any other way
I swear she's destined for the screen
Closest thing to Michelle Pfeiffer that you've ever seen, oh

Lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you, when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong
Oh lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong
Oh lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong, yeah
I got a lump in my throat 'cause
You're gonna sing the words wrong362Embed"
103,Nathan Goshen,חיים מאושרים,"2 ContributorsHaim Meusharim - חיים מאושרים Lyrics
את מספרת לכולם שפגשת את בעלך
ומאחד עד עשר הוא כמעט במאה אלף
מהרציניים, ויש לו אור על הפנים
ובזמן האחרון את רק עפה מההדף
אבל אחרי שנה זה מתקדם
את שואלת בכנות אם יש על מה להילחם
ואיך הוא לא הכיר לך אף אחד מהאנשים סביבו
והוא קולט שהויכוח מתחמם
שלו Team-אז הוא מכניס אותך ללו""ז שלו, ל
תפגשי את חברים שלו, את אחים שלו
אבל הוא לא יוציא טבעת ואם תשאלי
הוא לא יודע אם זה מתאים או לא
הוא לא יודע אם זו ריצה למרחקים או לא
והאמת היא הוא דיבר עם ההורים שלו
והם חושבים שאת עוד לא יודעת שאת משוגעת
ולא שווה לשים אצלך את החיים שלו

ואת יודעת שלבד לא כדאי לך
הלילות יהיו קרים
וחולמת כמו כולם, כי מותר לך

על חיים מאושרים
על חיים מאושרים
You might also like
אז את עוצרת את הכל כדי להבין מה המצב
רק כדי לחשוב מי היה פה לפניו
מי טייל ברחובות שלך, ובמחשבות שלך
אם להגיד אמת אז להגיד אותה עכשיו
ואת צריכה להתעורר
איך עברו מיליון שנה, זה מרגיש הרבה יותר
ופעם את היית שונה והכל היה אחר
אבל סתם בשביל הקטע את מנסה להזכר
יש את ההוא נו שכחתי מה שמו
זה שלא היה שם אז הייתי במקומו
‏ויש את הוא שלא באמת אהב אותך
רק רצה שתעזרי לו להתאהב עוד בעצמו
יש את ההוא שתמיד שיחק אותה הגבר
וזה שמחייך תמיד כאילו הכל בסדר
ויש אותי אבל אני רק אח גדול ופסיכולוג
אני הק׳ואצר התורן ולא מעבר

אז מי יהיה איתך היום
מי יטפל בשגעונות שלך
הגוף עייף מלעמוד
הלב הפוך כמו השעות שלך

ואת יודעת שלבד לא כדאי לך
הלילות יהיו קרים
וחולמת כמו כולם, כי מותר לך
על חיים מאושרים
על חיים מאושרים

ואת יודעת שלבד לא כדאי לך
הלילות יהיו קרים
וחולמת כמו כולם, כי מותר לך

על חיים מאושרים
על חיים מאושריםEmbed"
